"""Curso"",""Nombre"",""Credito"",""Departamento"""
"EIELE01,""Curso Inmersión de Español para Extranjeros"",""2"",""EI - Área de Idiomas, Escuela de Ingeniería"""
"EIELE02,""Curso Inmersión de Español para Extranjeros Pre-Intermedio"",""2"",""EI - Área de Idiomas, Escuela de Ingeniería"""
"EE0001,""Test de Diagnóstico de Español"",""0"",""EI - Área de Idiomas, Escuela de Ingeniería"""
"EE0002,""Test de Diagnóstico de Español II"",""0"",""EI - Área de Idiomas, Escuela de Ingeniería"""
"EI0001,""Test de Diagnóstico de Inglés"",""0"",""EI - Área de Idiomas, Escuela de Ingeniería"""
"EI0002,""Test de Diagnóstico de Inglés"",""0"",""EI - Área de Idiomas, Escuela de Ingeniería"""
"EI0003,""Test de Diagnóstico de Inglés"",""0"",""EI - Área de Idiomas, Escuela de Ingeniería"""
"EI0004,""Test de Diagnóstico de Inglés"",""0"",""EI - Área de Idiomas, Escuela de Ingeniería"""
"EI0005,""Test de Diagnóstico de Inglés"",""0"",""EI - Área de Idiomas, Escuela de Ingeniería"""
"EI0006,""Test de Diagnóstico de Inglés"",""0"",""EI - Área de Idiomas, Escuela de Ingeniería"""
"EI0011,""Prueba de Diagnóstico de Español"",""0"",""EI - Área de Idiomas, Escuela de Ingeniería"""
"EI0012,""Prueba de Diagnóstico de Español"",""0"",""EI - Área de Idiomas, Escuela de Ingeniería"""
"EI0013,""Prueba de Diagnóstico de Español"",""0"",""EI - Área de Idiomas, Escuela de Ingeniería"""
"EI0014,""Prueba de Diagnóstico de Español"",""0"",""EI - Área de Idiomas, Escuela de Ingeniería"""
"EI0015,""Prueba de Diagnóstico de Español"",""0"",""EI - Área de Idiomas, Escuela de Ingeniería"""
"EI0031,""Prueba de Diagnóstico de Francés"",""0"",""EI - Área de Idiomas, Escuela de Ingeniería"""
"EI0032,""Prueba de Diagnóstico de Francés"",""0"",""EI - Área de Idiomas, Escuela de Ingeniería"""
"EI1090,""Examen de Suficiencia en Inglés I"",""0"",""EI - Área de Idiomas, Escuela de Ingeniería"""
