"|","|__Codigo","|__Seccion","|__Profesores__001","|__Profesores__002","|__Profesores__003","|__Profesores__004","|__Profesores__005","|__Profesores__006","|__Profesores__007","|__Profesores__008","|__Profesores__009","|__Profesores__010","|__Profesores__011","|__Profesores__012"
"239","CI6401","1","Roberto Gesche S.","","","","","","","","","","",""
"240","CI6402","1","Edgar Bard O.","","","","","","","","","","",""
"241","CI6501","1","Pablo Pareja F.","","","","","","","","","","",""
"242","CI6502","1","Jaime Tellez T.","","","","","","","","","","",""
"243","CI6502","2","Adolfo Ochoa Llangato","","","","","","","","","","",""
"244","CI6901","1","Cristián E. Cortés","","","","","","","","","","",""
"245","CI6908","1","David Campusano B.","","","","","","","","","","",""
"246","CI6908","2","Adolfo Ochoa Llangato","","","","","","","","","","",""
"247","CI6908","3","Katherine Lizama Allende","","","","","","","","","","",""
"248","CI6908","4","Alejandro Aldea S.","","","","","","","","","","",""
"249","CI6909","1","Jorge Pulgar A.","","","","","","","","","","",""
"250","CI6909","2","Adolfo Ochoa Llangato","","","","","","","","","","",""
"251","CI6909","3","Yarko Niño C.","","","","","","","","","","",""
"252","CI6909","4","Alejandro Aldea S.","","","","","","","","","","",""
"253","CI6910","1","Mauricio Sarrazin A.","","","","","","","","","","",""
"254","CI7112","1","James Mcphee T.","","","","","","","","","","",""
"255","CI7201","1","Fabian Rojas B.","","","","","","","","","","",""
"256","CI7202","1","Fabian Rojas B.","","","","","","","","","","",""
"257","CI7213","1","Ruben Boroschek Krauskopf","","","","","","","","","","",""
"258","CI7214","1","Rodolfo Saragoni H.","","","","","","","","","","",""
"259","CI7301","1","Cristián Guevara Cue","","","","","","","","","","",""
"260","CI7302","1","Cristián Guevara Cue","","","","","","","","","","",""
"261","CI7601","1","Rafael Ruiz G.","","","","","","","","","","",""
"262","CI7602","1","Yolanda Alberto","","","","","","","","","","",""
"263","CI7900","1","","","","","","","","","","","",""
"264","CI7901","1","","","","","","","","","","","",""
"265","CI7906","1","Ruben Boroschek Krauskopf","","","","","","","","","","",""
"266","CI7907","1","","","","","","","","","","","",""
"267","CI71F","1","Pablo Mendoza","","","","","","","","","","",""
"268","CI71Q","1","Yarko Niño C.","","","","","","","","","","",""
"269","CI71S","1","Pablo Mendoza","Ana Lucía Prieto Santa","","","","","","","","","",""
"270","CI71Y","1","Amparo Edwards S.","","","","","","","","","","",""
"271","CI79A","1","Yarko Niño C.","","","","","","","","","","",""
"272","CI79B","1","Alberto De la Fuente Stranger","","","","","","","","","","",""
"273","CI79C","1","Alberto De la Fuente Stranger","","","","","","","","","","",""
"274","CM3201","1","Eduardo Donoso C.","","","","","","","","","","",""
"275","CM4201","1","Gerardo Díaz Rodenas","","","","","","","","","","",""
"276","CM4202","1","Andreas Resenkranz","","","","","","","","","","",""
"277","DR100A","1","Mario Rodríguez Vargas","","","","","","","","","","",""
"278","DR100A","2","Mario Rodríguez Vargas","","","","","","","","","","",""
"279","DR100A","3","Mario Rodríguez Vargas","","","","","","","","","","",""
"280","DR100A","4","Rodolfo Catalan G.","","","","","","","","","","",""
"281","DR100A","5","Rodolfo Catalan G.","","","","","","","","","","",""
"282","DR100B","1","Mario Rodríguez Vargas","","","","","","","","","","",""
"283","DR100B","2","Mario Rodríguez Vargas","","","","","","","","","","",""
"284","DR100B","3","Mario Rodríguez Vargas","","","","","","","","","","",""
"285","DR100B","4","Rodolfo Catalan G.","","","","","","","","","","",""
"286","DR100B","5","Rodolfo Catalan G.","","","","","","","","","","",""
"287","DR130A","1","Gisel Rodiño S.","","","","","","","","","","",""
"288","DR130A","2","Gisel Rodiño S.","","","","","","","","","","",""
"289","DR130A","3","Mónica Vásquez C.","","","","","","","","","","",""
"290","DR150A","1","Carolina Andrade P.","","","","","","","","","","",""
"291","DR150A","2","Carolina Andrade P.","","","","","","","","","","",""
"292","DR150A","3","Gisel Rodiño S.","","","","","","","","","","",""
"293","DR150A","4","Gisel Rodiño S.","","","","","","","","","","",""
"294","DR160A","1","Hugo Basaure U.","","","","","","","","","","",""
"295","DR160A","2","Hugo Basaure U.","","","","","","","","","","",""
"296","DR160A","3","Hugo Basaure U.","","","","","","","","","","",""
"297","DR160B","1","Hugo Basaure U.","","","","","","","","","","",""
"298","DR160B","2","Hugo Basaure U.","","","","","","","","","","",""
"299","DR160B","3","Hugo Basaure U.","","","","","","","","","","",""
"300","DR170A","1","Carolina Andrade P.","","","","","","","","","","",""
"301","DR180A","1","Jorge de la Cerda H.","","","","","","","","","","",""
"302","DR180A","2","Jorge de la Cerda H.","","","","","","","","","","",""
"303","DR180A","3","Julio Figueroa C.","","","","","","","","","","",""
"304","DR180A","4","Julio Figueroa C.","","","","","","","","","","",""
"305","DR180A","5","Julio Figueroa C.","","","","","","","","","","",""
"306","DR180A","6","Julio Figueroa C.","","","","","","","","","","",""
"307","DR180A","7","Mauricio Mignogna A.","","","","","","","","","","",""
"308","DR180A","8","Mauricio Mignogna A.","","","","","","","","","","",""
"309","DR180A","9","Mauricio Mignogna A.","","","","","","","","","","",""
"310","DR180A","10","Mauricio Mignogna A.","","","","","","","","","","",""
"311","DR180A","11","Mauricio Mignogna A.","","","","","","","","","","",""
"312","DR180A","12","Marcelo Berríos E.","","","","","","","","","","",""
"313","DR180A","13","Marcelo Berríos E.","","","","","","","","","","",""
"314","DR180A","14","Marcelo Berríos E.","","","","","","","","","","",""
"315","DR180A","15","Víctor Reyes","","","","","","","","","","",""
"316","DR180B","1","Jorge de la Cerda H.","","","","","","","","","","",""
"317","DR180B","2","Jorge de la Cerda H.","","","","","","","","","","",""
"318","DR180B","3","Julio Figueroa C.","","","","","","","","","","",""
"319","DR180B","4","Julio Figueroa C.","","","","","","","","","","",""
"320","DR180B","5","Julio Figueroa C.","","","","","","","","","","",""
"321","DR180B","6","Julio Figueroa C.","","","","","","","","","","",""
"322","DR180B","7","Mauricio Mignogna A.","","","","","","","","","","",""
"323","DR180B","8","Mauricio Mignogna A.","","","","","","","","","","",""
"324","DR180B","9","Mauricio Mignogna A.","","","","","","","","","","",""
"325","DR180B","10","Mauricio Mignogna A.","","","","","","","","","","",""
"326","DR180B","11","Mauricio Mignogna A.","","","","","","","","","","",""
"327","DR180B","12","Marcelo Berríos E.","","","","","","","","","","",""
"328","DR180B","13","Marcelo Berríos E.","","","","","","","","","","",""
"329","DR180B","14","Marcelo Berríos E.","","","","","","","","","","",""
"330","DR180B","15","Víctor Reyes","","","","","","","","","","",""
"331","DR190A","1","Diana Villares G.","","","","","","","","","","",""
"332","DR210A","1","Jaime Cáceres P.","","","","","","","","","","",""
"333","DR210A","2","Jaime Cáceres P.","","","","","","","","","","",""
"334","DR230A","1","Gabriel Ayala B.","","","","","","","","","","",""
"335","DR420A","1","Héctor Moreno Cabrera","","","","","","","","","","",""
"336","DR420A","2","Héctor Moreno Cabrera","","","","","","","","","","",""
"337","DR500A","1","Pablo Calvo S.","","","","","","","","","","",""
"338","DR500A","2","Pablo Calvo S.","","","","","","","","","","",""
"339","DR500B","1","Pablo Calvo S.","","","","","","","","","","",""
"340","DR500B","2","Pablo Calvo S.","","","","","","","","","","",""
"341","DR520A","1","Ruth Contreras S.","","","","","","","","","","",""
"342","DR610A","1","M. Ángel Álvarez Vásquez","","","","","","","","","","",""
"343","DR610A","2","M. Ángel Álvarez Vásquez","","","","","","","","","","",""
"344","DR610B","1","M. Ángel Álvarez Vásquez","","","","","","","","","","",""
"345","DR610B","2","M. Ángel Álvarez Vásquez","","","","","","","","","","",""
"346","DR700A","1","Tamara Capino","","","","","","","","","","",""
"347","DR700A","2","Tamara Capino","","","","","","","","","","",""
"348","DR700B","1","Tamara Capino","","","","","","","","","","",""
"349","DR800A","1","Raul Moya H.","","","","","","","","","","",""
