"Codigo","Seccion","Tipo","Dia","Inicio","Final"
"CI7213","1","Catedra","Jueves","16:15","17:45"
"CI7214","1","Catedra","Jueves","10:15","11:45"
"CI7214","1","Auxiliar","Viernes","14:00","16:00"
"CI7301","1","","","",""
"CI7302","1","","","",""
"CI7601","1","Catedra","Jueves","14:30","16:00"
"CI7602","1","Catedra","Jueves","12:00","13:30"
"CI7900","1","","","",""
"CI7901","1","","","",""
"CI7906","1","","","",""
"CI7907","1","Catedra","Jueves","18:00","19:30"
"CI71F","1","Catedra","Jueves","10:15","11:45"
"CI71F","1","Auxiliar","Jueves","16:00","18:00"
"CI71Q","1","Catedra","Miércoles","16:15","17:45"
"CI71Q","1","Auxiliar","Viernes","16:00","18:00"
"CI71S","1","","","",""
"CI71Y","1","Catedra","Martes","10:15","11:45"
"CI79A","1","Catedra","Viernes","12:00","13:30"
"CI79B","1","Catedra","Jueves","14:30","16:00"
"CI79C","1","Catedra","Jueves","14:30","16:00"
"CM3201","1","Catedra","Jueves","12:00","13:30"
"CM3201","1","Auxiliar","Miércoles","16:15","17:45"
"CM4201","1","Catedra","Martes","14:30","17:45"
"CM4202","1","Catedra","Jueves","14:30","16:00"
"DR100A","1","Catedra","Jueves","08:30","10:00"
"DR100A","2","Catedra","Jueves","10:15","11:45"
"DR100A","3","Catedra","Jueves","12:00","13:30"
"DR100A","4","Catedra","Miércoles","08:30","10:00"
"DR100A","5","Catedra","Miércoles","10:15","11:45"
"DR100B","1","Catedra","Jueves","08:30","10:00"
"DR100B","2","Catedra","Jueves","10:15","11:45"
"DR100B","3","Catedra","Jueves","12:00","13:30"
"DR100B","4","Catedra","Miércoles","08:30","10:00"
"DR100B","5","Catedra","Miércoles","10:15","11:45"
"DR130A","1","Catedra","Viernes","08:30","10:00"
"DR130A","2","Catedra","Jueves","10:15","11:45"
"DR130A","3","Catedra","Viernes","14:30","16:00"
"DR150A","1","Catedra","Jueves","08:30","10:00"
"DR150A","2","Catedra","Jueves","10:15","11:45"
"DR150A","3","Catedra","Viernes","10:15","11:45"
"DR150A","4","Catedra","Viernes","12:00","13:30"
"DR160A","1","Catedra","Jueves","14:30","16:00"
"DR160A","2","Catedra","Jueves","16:15","17:45"
"DR160A","3","Catedra","Jueves","18:00","19:30"
"DR160B","1","Catedra","Jueves","14:30","16:00"
"DR160B","2","Catedra","Jueves","16:15","17:45"
"DR160B","3","Catedra","Jueves","18:00","19:30"
"DR170A","1","Catedra","Jueves","12:00","13:30"
"DR180A","1","Catedra","Jueves","18:00","19:30"
"DR180A","2","Catedra","Jueves","19:30","21:00"
"DR180A","3","Catedra","Viernes","08:30","10:00"
"DR180A","4","Catedra","Viernes","10:15","11:45"
"DR180A","5","Catedra","Viernes","12:00","13:30"
"DR180A","6","Catedra","Jueves","08:30","10:00"
"DR180A","7","Catedra","Jueves","08:30","10:00"
"DR180A","8","Catedra","Jueves","10:15","11:45"
"DR180A","9","Catedra","Jueves","12:00","13:30"
"DR180A","10","Catedra","Jueves","14:30","16:00"
"DR180A","11","Catedra","Jueves","16:15","17:45"
"DR180A","12","Catedra","Miércoles","14:30","16:00"
"DR180A","13","Catedra","Jueves","14:30","16:00"
"DR180A","14","Catedra","Jueves","16:15","17:45"
"DR180A","15","Catedra","Viernes","18:00","19:30"
"DR180B","1","Catedra","Jueves","18:00","19:30"
"DR180B","2","Catedra","Jueves","19:30","21:00"
"DR180B","3","Catedra","Viernes","08:30","10:00"
"DR180B","4","Catedra","Viernes","10:15","11:45"
"DR180B","5","Catedra","Viernes","12:00","13:30"
"DR180B","6","Catedra","Jueves","08:30","10:00"
"DR180B","7","Catedra","Jueves","08:30","10:00"
"DR180B","8","Catedra","Jueves","10:15","11:45"
"DR180B","9","Catedra","Jueves","12:00","13:30"
"DR180B","10","Catedra","Jueves","14:30","16:00"
"DR180B","11","Catedra","Jueves","16:15","17:45"
"DR180B","12","Catedra","Miércoles","14:30","16:00"
"DR180B","13","Catedra","Jueves","14:30","16:00"
"DR180B","14","Catedra","Jueves","16:15","17:45"
"DR180B","15","Catedra","Viernes","18:00","19:30"
"DR190A","1","Catedra","Miércoles","18:00","19:30"
"DR210A","1","Catedra","Jueves","10:15","11:45"
"DR210A","2","Catedra","Jueves","12:00","13:30"
"DR230A","1","Catedra","Jueves","12:00","13:30"
"DR420A","1","Catedra","Viernes","14:30","16:00"
"DR420A","2","Catedra","Viernes","16:15","17:45"
"DR500A","1","Catedra","Jueves","10:15","11:45"
"DR500A","2","Catedra","Jueves","12:00","13:30"
"DR500B","1","Catedra","Jueves","10:15","11:45"
"DR500B","2","Catedra","Jueves","12:00","13:30"
"DR520A","1","Catedra","Miércoles","10:15","11:45"
"DR610A","1","Catedra","Jueves","08:30","10:00"
"DR610A","2","Catedra","Jueves","10:15","11:45"
"DR610B","1","Catedra","Jueves","08:30","10:00"
"DR610B","2","Catedra","Jueves","10:15","11:45"
"DR700A","1","Catedra","Miércoles","14:30","16:00"
"DR700A","2","Catedra","Miércoles","16:15","17:45"
"DR700B","1","Catedra","Miércoles","16:15","17:45"
"DR800A","1","","","",""
"DR800B","1","","","",""
"ED740","1","","","",""
"ED741","1","","","",""
"ED742","1","","","",""
"ED743","1","","","",""
"ED744","1","","","",""
"ED785","1","","","",""
"ED786","1","","","",""
"EH2002","1","Catedra","Jueves","08:30","10:00"
"EH2103","1","Catedra","Jueves","08:30","10:00"
"EH2108","1","Catedra","Jueves","08:30","10:00"
"EH2202","1","Catedra","Viernes","10:15","11:45"
"EH2203","1","Catedra","Jueves","10:15","11:45"
"EH2206","1","Catedra","Viernes","10:15","11:45"
"EH2308","1","Catedra","Jueves","16:15","17:45"
"EH2309","1","Catedra","Jueves","10:15","11:45"
"EH2401","1","Catedra","Miércoles","10:15","11:45"
"EH2403","1","Catedra","Jueves","10:15","11:45"
"EH2501","1","Catedra","Martes","14:30","16:00"
"EH2509","1","Catedra","Jueves","12:00","13:30"
"EH2514","1","Catedra","Viernes","10:15","11:45"
"EH2515","1","Catedra","Jueves","16:15","17:45"
"EH2516","1","Catedra","Miércoles","10:15","11:45"
"EH2518","1","Catedra","Miércoles","14:30","16:00"
"EH2601","1","Catedra","Miércoles","14:30","16:00"
"EH2605","1","Catedra","Viernes","12:00","13:30"
"EH2609","1","Catedra","Viernes","10:15","11:45"
"EH2609","2","Catedra","Viernes","12:00","13:30"
"EIELE01","1","","","",""
"EIELE02","1","","","",""
"EE0001","1","","","",""
"EE0002","1","","","",""
"EI0001","1","","","",""
"EI0002","1","","","",""
"EI0003","1","","","",""
"EI0004","1","","","",""
"EI0005","1","","","",""
"EI0006","1","","","",""
"EI0011","1","","","",""
"EI0012","1","","","",""
"EI0013","1","","","",""
"EI0014","1","","","",""
"EI0015","1","","","",""
"EI0031","1","","","",""
"EI0032","1","","","",""
"EI1090","1","","","",""
"EI2090","1","","","",""
"EI2201","1","Catedra","Jueves","16:15","17:45"
"EI2201","2","Catedra","Jueves","10:15","11:45"
"EI2201","3","Catedra","Jueves","12:00","13:30"
"EI2201","4","Catedra","Jueves","08:30","10:00"
"EI2202","1","Catedra","Viernes","10:15","11:45"
"EI2202","2","Catedra","Viernes","12:00","13:30"
"EI2202","3","Catedra","Jueves","08:30","10:00"
"EI2202","4","Catedra","Jueves","10:15","11:45"
"EI2202","5","Catedra","Jueves","12:00","13:30"
"EI2202","6","Catedra","Viernes","08:30","10:00"
"EI2202","7","Catedra","Viernes","12:00","13:30"
"EI2301","1","Catedra","Jueves","08:30","10:00"
"EI2301","2","Catedra","Jueves","12:00","13:30"
"EI2301","3","Catedra","Jueves","14:30","16:00"
"EI2302","1","Catedra","Jueves","10:15","11:45"
"EI3203","1","Catedra","Viernes","08:30","10:00"
"EI3203","2","Catedra","Miércoles","10:15","11:45"
"EI3203","3","Catedra","Viernes","08:30","10:00"
"EI3203","4","Catedra","Viernes","08:30","10:00"
"EI3203","5","Catedra","Viernes","12:00","13:30"
"EI3203","6","Catedra","Jueves","08:30","10:00"
"EI3203","7","Catedra","Jueves","10:15","11:45"
"EI3203","8","","","",""
"EI3203","9","Catedra","Jueves","12:00","13:30"
"EI3203","10","Catedra","Viernes","08:30","10:00"
"EI3203","11","Catedra","Jueves","14:30","16:00"
"EI3203","12","","","",""
"EI3203","13","Catedra","Viernes","10:15","11:45"
"EI3203","14","","","",""
"EI3203","15","Catedra","Viernes","10:15","11:45"
"EI3203","16","","","",""
"EI3203","17","Catedra","Jueves","12:00","13:30"
"EI4204","1","Catedra","Viernes","08:30","10:00"
"EI4204","2","Catedra","Viernes","08:30","10:00"
"EI4204","3","Catedra","Viernes","10:15","11:45"
"EI4204","4","Catedra","Viernes","10:15","11:45"
"EI4204","5","Catedra","Viernes","10:15","11:45"
"EI4204","6","Catedra","Miércoles","10:15","11:45"
"EI4204","7","Catedra","Jueves","08:30","10:00"
"EI4204","8","Catedra","Jueves","08:30","10:00"
"EI4204","9","Catedra","Jueves","08:30","10:00"
"EI4204","10","Catedra","Jueves","10:15","11:45"
"EI4204","11","Catedra","Jueves","10:15","11:45"
"EI4204","12","Catedra","Jueves","12:00","13:30"
"EI4204","13","Catedra","Jueves","12:00","13:30"
"EI4204","14","Catedra","Jueves","12:00","13:30"
"EI4204","15","Catedra","Jueves","14:30","16:00"
"EI4204","16","Catedra","Jueves","14:30","16:00"
"EI4204","17","Catedra","Jueves","16:15","17:45"
"EI4204","18","Catedra","Miércoles","08:30","10:00"
"EI4204","19","Catedra","Viernes","14:30","16:00"
"EI4204","20","Catedra","Jueves","10:15","11:45"
"EI4204","21","Catedra","Viernes","08:30","10:00"
"EI4205","1","Catedra","Miércoles","08:30","10:00"
"EI4205","2","Catedra","Miércoles","10:15","11:45"
"EI4205","3","Catedra","Jueves","14:30","16:00"
"EI4205","4","Catedra","Viernes","08:30","10:00"
"EI4205","5","Catedra","Viernes","10:15","11:45"
"EI4205","6","Catedra","Viernes","10:15","11:45"
"EI4205","7","Catedra","Viernes","10:15","11:45"
"EI4205","8","Catedra","Viernes","12:00","13:30"
"EI4205","9","Catedra","Viernes","12:00","13:30"
"EI4205","10","Catedra","Viernes","12:00","13:30"
"EI4205","11","Catedra","Viernes","12:00","13:30"
"EI4205","12","Catedra","Jueves","10:15","11:45"
"EI4205","13","Catedra","Jueves","08:30","10:00"
"EI4205","14","Catedra","Jueves","12:00","13:30"
"EI4205","15","Catedra","Jueves","12:00","13:30"
"EI4205","16","Catedra","Jueves","14:30","16:00"
"EI4205","17","Catedra","Jueves","08:30","10:00"
"EI4205","18","Catedra","Viernes","12:00","13:30"
"EI4205","19","Catedra","Viernes","14:30","16:00"
"EI4205","20","Catedra","Jueves","10:15","11:45"
"EI4205","21","Catedra","Jueves","14:30","16:00"
"EI4205","23","Catedra","Jueves","10:15","11:45"
"FT1101","1","Catedra","Lunes","18:00","20:00"
"FT1101","2","Catedra","Martes","16:00","18:00"
"TESTDE","1","","","",""
"TESTDE","2","","","",""
"TESTDE","3","","","",""
"TESTDE","4","","","",""
"TESTDF","1","","","",""
"TESTDI","1","","","",""
"TESTDI","2","","","",""
"TESTDI","3","","","",""
"TESTDI","4","","","",""
"CD1100","1","Catedra","Martes","16:15","17:45"
"CD1100","1","Laboratorio","Martes","18:00","19:30"
"CD1100","2","Catedra","Miércoles","08:30","10:00"
"CD1100","2","Laboratorio","Miércoles","10:15","11:45"
"CD1100","3","Catedra","Miércoles","08:30","10:00"
"CD1100","3","Laboratorio","Miércoles","10:15","11:45"
